Longitude,Latitude,Time,X,Y,Z,Speed
26.333,23,6.23,0.55879,-0.23947,0.073168,0.82105
11.667,16,6.295,0.5555,-0.24157,0.078629,0.82105
24.667,5.3333,6.357,0.53919,-0.23116,0.084452,0.82105
24,21.333,6.421,0.50048,-0.18259,0.092737,0.54737
22.333,21,6.483,0.4971,-0.16752,0.093833,0.54737
1.3333,2.6667,6.545,0.54022,-0.16037,0.094274,0.69474
9.6667,4.6667,6.608,0.58556,-0.1424,0.085833,0.69474
8,16.333,6.67,0.60339,-0.11158,0.079878,0.69474
17,9,6.733,0.64391,-0.055886,0.071107,0.69474
3.6667,7.3333,6.795,0.67658,-0.039631,0.06144,0.69474
10,21.333,6.857,0.7077,-0.033159,0.053919,0.71579
23.333,16.667,6.919,0.75189,-0.03728,0.042648,0.71579
7,18.333,6.981,0.76809,-0.042571,0.036241,0.71579
1,18.667,7.043,0.79888,-0.041685,0.026301,0.71579
26.667,25,7.104,0.81034,-0.039827,0.018111,0.71579
16.333,3.3333,7.167,0.81647,-0.03842,0.013932,0.58947
6.6667,16.333,7.229,0.81641,-0.031764,0.0076644,0.58947
12,13.333,7.29,0.81293,-0.032284,0.0033677,0.58947
19.667,14.333,7.353,0.80655,-0.037772,0.0055287,0.58947
15,6,7.414,0.80526,-0.045031,0.0011314,0.58947
12,20,7.477,0.79518,-0.040993,0.0031635,0.58947
16.333,7,7.54,0.77839,-0.04225,-0.0018395,0.58947
5,5.3333,7.602,0.76337,-0.045048,-0.0052771,0.58947
21.667,23.333,7.671,0.75761,-0.056682,-0.012493,0.58947
22,1,7.733,0.74371,-0.072471,-0.015744,0.58947
13,1,7.797,0.73267,-0.08981,-0.020935,0.52632
20.333,12,7.859,0.72111,-0.089859,-0.02232,0.52632
11,2,7.922,0.71266,-0.09609,-0.027035,0.52632
19.667,26.333,7.991,0.70534,-0.1043,-0.022244,0.52632
4.3333,17,8.053,0.70103,-0.1272,-0.01902,0.52632
13.667,17.667,8.115,0.69116,-0.14131,-0.011836,0.63158
18,9,8.178,0.6774,-0.14845,-0.0088561,0.63158
4.3333,13,8.244,0.65689,-0.15865,-0.0027658,0.63158
2,0.66667,8.306,0.64224,-0.16942,0.0010749,0.63158
9,5.6667,8.368,0.64251,-0.18725,0.0015598,0.63158
12,23,8.434,0.65082,-0.20082,0.0043515,0.73684
20.333,2,8.502,0.64374,-0.20577,0.0064811,0.73684
3.6667,8.3333,8.565,0.63862,-0.20233,0.0092193,0.73684
24.333,22.333,8.627,0.62541,-0.20182,0.011665,0.73684
6,16.333,8.69,0.61752,-0.20191,0.012929,0.73684
10.333,24.667,8.752,0.60272,-0.205,0.014906,0.69474
11.333,23.667,8.816,0.5959,-0.21053,0.016734,0.69474
26,6.6667,8.878,0.58945,-0.21281,0.020827,0.69474
5,25.667,8.94,0.58733,-0.22463,0.024381,0.69474
23.667,12.333,9.004,0.59053,-0.23674,0.030012,0.69474
15,24,9.066,0.59237,-0.24734,0.034896,0.58947
8.6667,12.667,9.128,0.58259,-0.24174,0.039531,0.58947
24,15.667,9.192,0.57073,-0.2316,0.041367,0.58947
14.667,0.33333,9.253,0.55844,-0.21722,0.042981,0.58947
12.667,19.667,9.316,0.57347,-0.23243,0.044848,0.58947
21.667,11.333,9.379,0.58262,-0.23863,0.04583,0.65263
9.6667,3.3333,9.441,0.55815,-0.2187,0.048182,0.65263
26,16,9.503,0.56399,-0.22538,0.047293,0.65263
15,0.33333,9.566,0.5761,-0.2361,0.046059,0.65263
20.667,25.333,9.637,0.56151,-0.22081,0.043421,0.65263
18.333,18.667,9.7,0.53009,-0.19062,0.04122,0.69474
5.6667,7.3333,9.762,0.53447,-0.19641,0.039256,0.69474
22.333,20.333,9.825,0.52985,-0.19731,0.044103,0.69474
