2.633300000000000196e+01,2.200000000000000000e+01
2.666699999999999804e+01,2.466699999999999804e+01
1.433300000000000018e+01,2.000000000000000000e+01
1.600000000000000000e+01,1.933299999999999841e+01
1.666700000000000159e+01,4.000000000000000000e+00
2.666699999999999804e+01,1.700000000000000000e+01
7.000000000000000000e+00,3.000000000000000000e+00
1.800000000000000000e+01,2.666700000000000070e+00
4.000000000000000000e+00,6.333300000000000374e+00
6.000000000000000000e+00,6.333300000000000374e+00
3.000000000000000000e+00,7.666699999999999626e+00
3.333300000000000152e-01,2.166699999999999804e+01
2.666699999999999804e+01,2.566699999999999804e+01
3.000000000000000000e+00,1.166699999999999982e+01
